number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.7720153194449978,2025-11-05 18:25:38.685854,2025-11-05 18:25:59.415647,0 days 00:00:20.729793,0.5780093202212182,0.2904180608409973,0.06504856968981275,10,0.029375384576328288,687,0.6245760287469893,0.002570603566117598,0.8394633936788146,COMPLETE
1,0.7586279358889673,2025-11-05 18:25:59.420456,2025-11-05 18:26:20.475977,0 days 00:00:21.055521,0.6061695553391381,0.9170225492671691,0.2526878207508456,3,0.035113563139704075,1121,5.472429642032198e-06,0.00052821153945323,0.9329770563201687,COMPLETE
2,0.7636640878957041,2025-11-05 18:26:20.481005,2025-11-05 18:26:40.494523,0 days 00:00:20.013518,0.6460723242676091,2.28034992108518,0.032781876533976156,5,0.1256277350380703,761,0.1165691561324743,6.267062696005991e-07,0.6557975442608167,COMPLETE
3,0.7088868365045853,2025-11-05 18:26:40.498564,2025-11-05 18:27:23.696461,0 days 00:00:43.197897,0.5852620618436457,4.7444276862666666,0.0013033567475147442,7,0.015673095467235415,869,4.905556676028774,0.18861495878553936,0.8430179407605753,COMPLETE
4,0.7783633674203289,2025-11-05 18:27:23.700962,2025-11-05 18:27:43.001300,0 days 00:00:19.300338,0.5610191174223894,0.17194260557609198,0.04953682563497157,3,0.3058656666978526,596,1.527156759251193,2.133142332373004e-06,0.7760609974958406,COMPLETE
